algorithm,total_runs,avg_time_ms,median_time_ms,p95_time_ms,min_time_ms,max_time_ms
Binary Heap,24,232.1977,231.8107,434.0280,0.0000,453.1091
Bubble Sort,24,62550.6531,47831.8157,161236.7716,84.9338,170521.5574
